customer_id,gender,age,city,state,customer_segment,registration_date
CUST000001,Female,26,Bhopal,Madhya Pradesh,Regular,2019-05-02
CUST000002,Male,54,Gurugram,Haryana,Regular,2018-07-12
CUST000003,Female,55,Mangaluru,Karnataka,Premium,2018-05-04
CUST000004,Female,38,Vadodara,Gujarat,Occasional,2024-12-18
CUST000005,Male,38,Kolkata,West Bengal,Occasional,2020-04-12
CUST000006,Female,44,Coimbatore,Tamil Nadu,Regular,2022-04-06
CUST000007,Female,28,Chandigarh,Chandigarh,Occasional,2022-01-19
CUST000008,Male,56,Patna,Bihar,Premium,2019-11-25
CUST000009,Other,47,Chandigarh,Chandigarh,Occasional,2019-04-20
CUST000010,Male,45,Jaipur,Rajasthan,New,2018-10-14
CUST000011,Male,37,Delhi,Delhi,Premium,2024-04-11
CUST000012,Female,64,Kolkata,West Bengal,New,2019-09-06
CUST000013,Male,62,Kochi,Kerala,Occasional,2020-06-21
CUST000014,Male,64,Bhubaneswar,Odisha,Regular,2018-01-21
CUST000015,Male,63,Noida,Uttar Pradesh,Premium,2024-11-19
CUST000016,Female,55,Hyderabad,Telangana,New,2022-07-21
CUST000017,Female,21,Chennai,Tamil Nadu,Regular,2022-06-05
CUST000018,Female,35,Warangal,Telangana,Occasional,2019-06-14
CUST000019,Female,67,Faridabad,Haryana,Regular,2024-11-11
CUST000020,Male,46,Nagpur,Maharashtra,New,2019-01-26
CUST000021,Male,53,Hyderabad,Telangana,Regular,2021-02-10
CUST000022,Female,44,Nagpur,Maharashtra,Regular,2022-02-17
CUST000023,Female,70,Coimbatore,Tamil Nadu,New,2019-04-17
CUST000024,Male,18,Bhopal,Madhya Pradesh,Premium,2020-11-18
CUST000025,Male,52,Gurugram,Haryana,Occasional,2019-04-23
CUST000026,Female,22,Patna,Bihar,Regular,2022-09-14
CUST000027,Female,69,Kochi,Kerala,Occasional,2024-08-04
CUST000028,Female,23,Cuttack,Odisha,Regular,2023-03-15
CUST000029,Male,53,Chennai,Tamil Nadu,Regular,2019-09-22
CUST000030,Other,22,Delhi,Delhi,Occasional,2019-09-23
CUST000031,Female,61,Bengaluru,Karnataka,Occasional,2022-02-24
CUST000032,Female,49,Thiruvananthapuram,Kerala,Regular,2024-08-09
CUST000033,Female,56,Delhi,Delhi,Premium,2024-05-20
CUST000034,Female,62,Chandigarh,Chandigarh,Regular,2021-06-18
CUST000035,Female,48,Kochi,Kerala,Occasional,2018-04-18
CUST000036,Female,57,Madurai,Tamil Nadu,Premium,2022-11-24
CUST000037,Female,62,Ahmedabad,Gujarat,New,2023-09-14
CUST000038,Female,61,Delhi,Delhi,New,2019-05-01
