snapshot_date,product_id,warehouse,stock,reorder_level,safety_stock,lead_time_days,units_sold_this_month
2022-01-01,PRD00675,WH-KOL,518,175,70,4,36
2022-01-01,PRD00634,WH-HYD,648,162,64,7,265
2022-01-01,PRD00205,WH-CHN,84,76,30,12,269
2022-01-01,PRD00012,WH-HYD,799,148,59,14,85
2022-01-01,PRD00177,WH-KOL,502,105,42,10,92
2022-01-01,PRD00144,WH-MUM,211,52,20,7,198
2022-01-01,PRD00454,WH-BLR,38,121,48,7,267
2022-01-01,PRD00147,WH-HYD,789,179,71,14,296
2022-01-01,PRD00740,WH-CHN,727,143,57,6,196
2022-01-01,PRD00511,WH-KOL,542,109,43,20,68
2022-01-01,PRD00575,WH-CHN,519,86,34,11,144
2022-01-01,PRD00009,WH-BLR,353,54,21,21,238
2022-01-01,PRD00528,WH-DEL,596,197,78,13,286
2022-01-01,PRD00750,WH-CHN,9,180,72,27,253
2022-01-01,PRD00469,WH-CHN,431,144,57,22,65
2022-01-01,PRD00412,WH-MUM,527,80,32,22,164
2022-01-01,PRD00796,WH-KOL,464,107,42,27,203
2022-01-01,PRD00213,WH-KOL,85,178,71,8,285
2022-01-01,PRD00123,WH-HYD,542,143,57,12,97
2022-01-01,PRD00448,WH-DEL,357,65,26,10,212
2022-01-01,PRD00168,WH-HYD,436,168,67,16,19
2022-01-01,PRD00339,WH-KOL,123,63,25,3,90
2022-01-01,PRD00620,WH-KOL,702,150,60,25,103
2022-01-01,PRD00659,WH-CHN,262,179,71,11,20
2022-01-01,PRD00338,WH-DEL,434,61,24,23,226
2022-01-01,PRD00614,WH-DEL,157,160,64,20,206
2022-01-01,PRD00768,WH-CHN,524,124,49,18,220
2022-01-01,PRD00555,WH-MUM,506,92,36,7,30
2022-01-01,PRD00050,WH-HYD,787,113,45,14,190
2022-01-01,PRD00485,WH-DEL,588,118,47,16,78
2022-01-01,PRD00067,WH-MUM,598,186,74,3,178
2022-01-01,PRD00135,WH-HYD,317,103,41,13,80
2022-01-01,PRD00396,WH-HYD,118,89,35,19,207
2022-01-01,PRD00366,WH-HYD,40,179,71,15,252
2022-01-01,PRD00482,WH-HYD,598,93,37,18,56
2022-01-01,PRD00297,WH-CHN,558,185,74,25,31
2022-01-01,PRD00435,WH-BLR,239,184,73,26,28
2022-01-01,PRD00416,WH-HYD,487,117,46,11,179
2022-01-01,PRD00643,WH-DEL,589,95,38,18,218
2022-01-01,PRD00513,WH-HYD,258,157,62,13,166
2022-01-01,PRD00429,WH-KOL,768,73,29,16,152
2022-01-01,PRD00616,WH-CHN,230,144,57,14,215
2022-01-01,PRD00724,WH-HYD,232,113,45,20,219
2022-01-01,PRD00745,WH-DEL,291,124,49,17,14
2022-01-01,PRD00473,WH-HYD,524,107,42,4,49
2022-01-01,PRD00187,WH-MUM,562,134,53,24,164
2022-01-01,PRD00506,WH-HYD,341,159,63,9,192
2022-01-01,PRD00538,WH-KOL,57,131,52,14,271
2022-01-01,PRD00244,WH-BLR,27,135,54,6,292
2022-01-01,PRD00670,WH-CHN,406,107,42,25,46
2022-01-01,PRD00076,WH-BLR,301,139,55,21,57
2022-01-01,PRD00526,WH-DEL,566,52,20,19,5
2022-01-01,PRD00742,WH-HYD,367,154,61,28,88
2022-01-01,PRD00728,WH-BLR,270,163,65,18,63
2022-01-01,PRD00295,WH-MUM,722,143,57,25,295
2022-01-01,PRD00105,WH-BLR,755,169,67,27,141
2022-01-01,PRD00392,WH-HYD,592,59,23,27,65
2022-01-01,PRD00585,WH-HYD,530,73,29,27,273
2022-01-01,PRD00225,WH-MUM,301,138,55,21,40
2022-01-01,PRD00103,WH-HYD,106,181,72,15,164
2022-01-01,PRD00180,WH-BLR,7,191,76,24,142
2022-01-01,PRD00223,WH-BLR,249,198,79,11,224
2022-01-01,PRD00563,WH-KOL,741,130,52,7,89
2022-01-01,PRD00631,WH-HYD,218,155,62,3,292
2022-01-01,PRD00780,WH-BLR,595,166,66,15,31
2022-01-01,PRD00233,WH-CHN,597,122,48,11,191
2022-01-01,PRD00682,WH-BLR,280,66,26,3,234
2022-01-01,PRD00107,WH-DEL,342,129,51,9,85
2022-01-01,PRD00611,WH-DEL,489,57,22,16,38
