product_id,product_name,category,subcategory,brand,price,cost_price,launch_date,is_active
PRD00001,Appliances Item 1,Home & Kitchen,Appliances,IKEA,17537.74,9998.16,2022-09-14,1
PRD00002,Mens Wear Item 2,Fashion,Mens Wear,Decathlon,2677.78,1954.31,2019-09-29,1
PRD00003,Storage Item 3,Home & Kitchen,Storage,Puma,13972.15,9673.13,2020-09-14,1
PRD00004,Sportswear Item 4,Sports & Fitness,Sportswear,Adidas,11091.59,5946.94,2021-10-28,1
PRD00005,Mens Wear Item 5,Fashion,Mens Wear,Sony,1359.75,701.9,2023-03-13,1
PRD00006,Accessories Item 6,Electronics,Accessories,Decathlon,50877.08,36810.47,2019-03-14,1
PRD00007,Kids Wear Item 7,Fashion,Kids Wear,IKEA,1914.62,1323.24,2022-03-20,1
PRD00008,Accessories Item 8,Fashion,Accessories,Himalaya,6197.11,3071.08,2021-02-26,1
PRD00009,Laptops Item 9,Electronics,Laptops,Decathlon,72418.56,45081.87,2022-02-03,1
PRD00010,Footwear Item 10,Fashion,Footwear,Nestlé,3591.49,1953.7,2019-11-21,1
PRD00011,Footwear Item 11,Fashion,Footwear,Bata,4330.24,2966.28,2019-08-04,1
PRD00012,Dairy Item 12,Grocery,Dairy,Prestige,1796.05,885.36,2023-01-30,0
PRD00013,Footwear Item 13,Fashion,Footwear,Whirlpool,6367.37,3376.14,2023-09-11,1
PRD00014,Kids Wear Item 14,Fashion,Kids Wear,Samsung,4039.48,2184.31,2021-08-30,1
PRD00015,Dairy Item 15,Grocery,Dairy,IKEA,310.46,148.79,2019-05-14,1
PRD00016,Mens Wear Item 16,Fashion,Mens Wear,Sony,5454.05,3289.73,2022-02-12,1
PRD00017,Tablets Item 17,Electronics,Tablets,Bata,64717.22,37770.45,2020-11-18,1
PRD00018,Snacks Item 18,Grocery,Snacks,Puma,1627.65,873.78,2023-10-16,1
PRD00019,Smartphones Item 19,Electronics,Smartphones,IKEA,45159.73,29503.62,2020-12-08,1
PRD00020,Storage Item 20,Home & Kitchen,Storage,Sony,1987.59,1466.53,2020-04-08,1
PRD00021,Mens Wear Item 21,Fashion,Mens Wear,Decathlon,6618.25,4068.06,2020-11-20,1
PRD00022,Decor Item 22,Home & Kitchen,Decor,Nike,18287.66,12580.43,2023-05-03,1
PRD00023,Snacks Item 23,Grocery,Snacks,Whirlpool,1680.93,1112.26,2022-09-02,1
PRD00024,Cycling Item 24,Sports & Fitness,Cycling,Apple,1866.34,1011.35,2023-03-02,1
PRD00025,Sportswear Item 25,Sports & Fitness,Sportswear,IKEA,9544.36,6285.5,2020-12-02,0
PRD00026,Accessories Item 26,Fashion,Accessories,Bata,1372.26,992.77,2021-02-19,0
PRD00027,Kids Wear Item 27,Fashion,Kids Wear,Adidas,4362.24,2644.23,2020-05-16,1
PRD00028,Accessories Item 28,Electronics,Accessories,Bata,31656.91,23578.76,2019-11-06,1
PRD00029,Mens Wear Item 29,Fashion,Mens Wear,Adidas,4884.32,2883.67,2023-01-08,1
PRD00030,Laptops Item 30,Electronics,Laptops,Samsung,48937.04,24038.29,2021-04-27,1
PRD00031,Personal Care Item 31,Grocery,Personal Care,Bata,1328.38,835.31,2021-09-25,1
PRD00032,Footwear Item 32,Fashion,Footwear,IKEA,721.44,428.26,2022-12-20,1
PRD00033,Audio Item 33,Electronics,Audio,Nestlé,38863.07,26142.71,2023-01-02,1
PRD00034,Staples Item 34,Grocery,Staples,Samsung,1453.58,755.21,2020-05-27,1
PRD00035,Cookware Item 35,Home & Kitchen,Cookware,Sony,2560.91,1629.76,2019-10-11,1
PRD00036,Dairy Item 36,Grocery,Dairy,Apple,1988.77,927.06,2021-05-23,1
PRD00037,Cookware Item 37,Home & Kitchen,Cookware,Samsung,13785.19,8040.28,2019-10-22,1
PRD00038,Sportswear Item 38,Sports & Fitness,Sportswear,Nike,13017.33,5981.68,2021-05-15,1
PRD00039,Sportswear Item 39,Sports & Fitness,Sportswear,IKEA,14806.06,7903.97,2023-03-10,1
PRD00040,Cycling Item 40,Sports & Fitness,Cycling,Adidas,12971.25,8585.82,2020-06-04,1
PRD00041,Footwear Item 41,Fashion,Footwear,Nestlé,1238.47,682.64,2022-12-05,1
PRD00042,Mens Wear Item 42,Fashion,Mens Wear,Whirlpool,1355.06,684.95,2021-09-08,1
PRD00043,Footwear Item 43,Fashion,Footwear,Adidas,3097.2,2207.6,2022-05-20,1
PRD00044,Beverages Item 44,Grocery,Beverages,Whirlpool,231.47,127.72,2020-02-06,1
PRD00045,Mens Wear Item 45,Fashion,Mens Wear,IKEA,6801.22,3310.49,2023-05-11,1
PRD00046,Womens Wear Item 46,Fashion,Womens Wear,Adidas,7302.61,3379.81,2021-05-02,1
PRD00047,Tablets Item 47,Electronics,Tablets,Titan,36158.26,25596.2,2020-05-06,1
PRD00048,Cookware Item 48,Home & Kitchen,Cookware,Samsung,15548.7,10898.49,2023-09-24,0
PRD00049,Dairy Item 49,Grocery,Dairy,LG,1219.73,654.62,2021-03-24,0
PRD00050,Snacks Item 50,Grocery,Snacks,Apple,1407.85,764.59,2020-04-29,1
PRD00051,Furniture Item 51,Home & Kitchen,Furniture,Nestlé,19507.82,9470.4,2021-12-17,1
PRD00052,Accessories Item 52,Fashion,Accessories,Prestige,1731.9,921.71,2020-01-26,1
PRD00053,Fitness Equipment Item 53,Sports & Fitness,Fitness Equipment,Adidas,837.88,591.44,2022-05-27,0
PRD00054,Laptops Item 54,Electronics,Laptops,Prestige,8864.24,5638.3,2023-10-10,1
PRD00055,Footwear Item 55,Fashion,Footwear,Apple,1778.52,1040.58,2020-11-11,0
PRD00056,Sportswear Item 56,Sports & Fitness,Sportswear,Himalaya,13876.28,7638.01,2019-09-27,1
PRD00057,Sportswear Item 57,Sports & Fitness,Sportswear,Apple,2397.9,1574.56,2021-07-05,1
PRD00058,Laptops Item 58,Electronics,Laptops,Whirlpool,72606.52,39205.29,2023-10-06,1
PRD00059,Snacks Item 59,Grocery,Snacks,Bata,1431.08,846.33,2023-01-05,1
PRD00060,Accessories Item 60,Electronics,Accessories,Prestige,26245.38,15057.24,2023-03-16,1
PRD00061,Womens Wear Item 61,Fashion,Womens Wear,Sony,5884.71,2801.84,2019-02-10,1
PRD00062,Smartphones Item 62,Electronics,Smartphones,Titan,7460.15,5257.0,2022-10-07,1
PRD00063,Smartphones Item 63,Electronics,Smartphones,Samsung,26238.65,13080.19,2020-01-03,1
PRD00064,Personal Care Item 64,Grocery,Personal Care,Prestige,1102.42,589.48,2020-08-08,1
PRD00065,Audio Item 65,Electronics,Audio,Apple,68803.5,35115.87,2021-11-03,1
PRD00066,Womens Wear Item 66,Fashion,Womens Wear,IKEA,4165.46,2621.03,2019-04-17,1
PRD00067,Footwear Item 67,Fashion,Footwear,Titan,3880.78,2762.29,2021-05-07,0
PRD00068,Womens Wear Item 68,Fashion,Womens Wear,Samsung,2315.48,1350.98,2023-09-13,1
PRD00069,Outdoor Item 69,Sports & Fitness,Outdoor,Samsung,8620.54,4993.51,2023-09-16,1
PRD00070,Womens Wear Item 70,Fashion,Womens Wear,Puma,3097.07,2128.88,2023-07-12,1
PRD00071,Personal Care Item 71,Grocery,Personal Care,Samsung,1494.75,695.63,2022-07-13,1
PRD00072,Accessories Item 72,Fashion,Accessories,Nestlé,3874.37,2481.24,2022-09-21,1
PRD00073,Laptops Item 73,Electronics,Laptops,Prestige,15941.58,9491.73,2022-02-18,1
PRD00074,Audio Item 74,Electronics,Audio,Decathlon,40226.68,29652.71,2020-02-02,1
PRD00075,Womens Wear Item 75,Fashion,Womens Wear,Adidas,4342.88,2759.84,2021-06-12,1
PRD00076,Audio Item 76,Electronics,Audio,IKEA,32614.31,15060.62,2023-01-20,1
PRD00077,Mens Wear Item 77,Fashion,Mens Wear,LG,6761.07,4539.72,2022-07-23,1
PRD00078,Appliances Item 78,Home & Kitchen,Appliances,Puma,21145.62,12169.04,2022-09-24,1
PRD00079,Storage Item 79,Home & Kitchen,Storage,Nestlé,26962.96,13008.19,2019-06-29,1
PRD00080,Decor Item 80,Home & Kitchen,Decor,Nike,6075.39,3353.62,2022-03-24,1
PRD00081,Tablets Item 81,Electronics,Tablets,Whirlpool,51284.52,29699.07,2020-01-13,1
PRD00082,Staples Item 82,Grocery,Staples,Adidas,1277.94,684.9,2022-03-23,1
PRD00083,Footwear Item 83,Fashion,Footwear,Decathlon,5723.38,3720.64,2020-06-30,1
PRD00084,Womens Wear Item 84,Fashion,Womens Wear,LG,7462.27,3565.58,2020-06-29,1
PRD00085,Staples Item 85,Grocery,Staples,Whirlpool,1587.94,968.23,2021-02-18,1
PRD00086,Laptops Item 86,Electronics,Laptops,Nestlé,28976.52,20848.8,2021-04-29,1
PRD00087,Fitness Equipment Item 87,Sports & Fitness,Fitness Equipment,Nestlé,10872.76,5519.09,2019-11-03,1
PRD00088,Audio Item 88,Electronics,Audio,IKEA,37142.11,19829.83,2020-09-27,1
PRD00089,Audio Item 89,Electronics,Audio,Puma,19904.94,9464.6,2020-04-04,1
PRD00090,Beverages Item 90,Grocery,Beverages,Titan,567.97,278.9,2020-04-22,0
PRD00091,Fitness Equipment Item 91,Sports & Fitness,Fitness Equipment,Nestlé,5052.68,3541.55,2023-09-21,1
PRD00092,Womens Wear Item 92,Fashion,Womens Wear,Nike,682.39,458.7,2021-07-08,1
PRD00093,Personal Care Item 93,Grocery,Personal Care,Titan,1045.66,558.81,2019-02-08,1
PRD00094,Kids Wear Item 94,Fashion,Kids Wear,LG,1117.43,583.24,2019-10-10,1
PRD00095,Beverages Item 95,Grocery,Beverages,Decathlon,142.65,84.15,2021-03-01,1
PRD00096,Accessories Item 96,Electronics,Accessories,Prestige,54155.41,31484.33,2022-05-21,1
PRD00097,Accessories Item 97,Electronics,Accessories,Nike,3762.25,2664.57,2021-10-17,1
PRD00098,Accessories Item 98,Fashion,Accessories,Titan,7113.02,3413.17,2020-03-11,0
PRD00099,Sportswear Item 99,Sports & Fitness,Sportswear,Whirlpool,13003.05,6961.57,2023-06-13,1
PRD00100,Storage Item 100,Home & Kitchen,Storage,Decathlon,8985.3,6086.04,2022-08-26,1
PRD00101,Laptops Item 101,Electronics,Laptops,IKEA,4971.84,2493.74,2019-04-22,1
PRD00102,Storage Item 102,Home & Kitchen,Storage,Nike,9794.71,6911.29,2021-06-09,1
PRD00103,Beverages Item 103,Grocery,Beverages,LG,51.74,31.55,2020-04-29,1
PRD00104,Accessories Item 104,Electronics,Accessories,Decathlon,30041.49,18706.82,2019-01-16,1
PRD00105,Staples Item 105,Grocery,Staples,Titan,824.7,504.06,2023-01-22,0
PRD00106,Storage Item 106,Home & Kitchen,Storage,Whirlpool,9759.97,4982.84,2020-09-30,1
PRD00107,Footwear Item 107,Fashion,Footwear,Puma,2617.44,1771.84,2020-07-30,1
PRD00108,Personal Care Item 108,Grocery,Personal Care,Adidas,99.86,58.43,2022-06-14,1
PRD00109,Nutrition Item 109,Sports & Fitness,Nutrition,Bata,2129.23,1449.41,2019-03-09,1
PRD00110,Beverages Item 110,Grocery,Beverages,LG,88.17,49.78,2019-09-13,0
PRD00111,Audio Item 111,Electronics,Audio,Puma,30704.92,17391.02,2022-08-28,1
PRD00112,Sportswear Item 112,Sports & Fitness,Sportswear,Decathlon,11321.07,6752.29,2020-07-23,1
PRD00113,Cycling Item 113,Sports & Fitness,Cycling,Prestige,9501.83,6273.51,2022-05-08,0
PRD00114,Outdoor Item 114,Sports & Fitness,Outdoor,Nestlé,12010.37,6522.74,2019-08-09,1
PRD00115,Kids Wear Item 115,Fashion,Kids Wear,Whirlpool,7650.06,4917.71,2021-03-14,0
PRD00116,Kids Wear Item 116,Fashion,Kids Wear,Himalaya,5142.32,3655.47,2020-10-19,1
PRD00117,Furniture Item 117,Home & Kitchen,Furniture,Himalaya,10056.13,6314.41,2022-12-19,1
PRD00118,Kids Wear Item 118,Fashion,Kids Wear,LG,2058.15,1068.42,2021-05-15,1
PRD00119,Laptops Item 119,Electronics,Laptops,Sony,9573.29,4472.81,2023-09-06,0
PRD00120,Smartphones Item 120,Electronics,Smartphones,Prestige,25949.7,14941.85,2020-03-08,1
PRD00121,Cookware Item 121,Home & Kitchen,Cookware,IKEA,28045.75,18184.94,2021-09-17,1
PRD00122,Snacks Item 122,Grocery,Snacks,Prestige,1038.69,750.95,2020-01-15,1
PRD00123,Storage Item 123,Home & Kitchen,Storage,Puma,25985.24,19012.44,2020-04-22,1
PRD00124,Fitness Equipment Item 124,Sports & Fitness,Fitness Equipment,Himalaya,1431.7,1072.4,2023-07-18,1
PRD00125,Appliances Item 125,Home & Kitchen,Appliances,Whirlpool,26381.38,13618.43,2022-06-23,1
