store_id,store_name,region,state,city,manager,store_type,store_size_sqft,open_date,is_active
ST0001,"Phoenix Marketcity, Mumbai",West,Maharashtra,Mumbai,Vikram Nair,Standard,9276,11/24/2022,1
ST0002,"Inorbit Mall, Mumbai",West,Maharashtra,Mumbai,Anita Sinha,Standard,21072,6/7/2021,1
ST0003,"R City Mall, Mumbai",West,Maharashtra,Mumbai,Sunita Rao,Standard,6076,4/14/2022,1
ST0004,"Linking Road, Mumbai",West,Maharashtra,Mumbai,Divya Menon,Standard,18215,5/4/2020,1
ST0005,"Bandra West, Mumbai",West,Maharashtra,Mumbai,Shalini Agarwal,Outlet,18119,3/22/2015,1
ST0006,"Powai Hiranandani, Mumbai",West,Maharashtra,Mumbai,Deepak Chopra,Express,2717,12/29/2017,1
ST0007,"Select Citywalk, Delhi",North,Delhi,Delhi,Harish Patel,Standard,6339,9/13/2019,1
ST0008,"DLF Promenade, Delhi",North,Delhi,Delhi,Sanjay Joshi,Standard,13068,11/10/2016,1
ST0009,"Connaught Place, Delhi",North,Delhi,Delhi,Shalini Agarwal,Standard,12127,11/9/2019,1
ST0010,"Rajouri Garden, Delhi",North,Delhi,Delhi,Manoj Pillai,Standard,8578,1/13/2019,0
ST0011,"Lajpat Nagar, Delhi",North,Delhi,Delhi,Anita Sinha,Standard,14355,3/16/2021,1
ST0012,"Karol Bagh, Delhi",North,Delhi,Delhi,Ramesh Babu,Standard,12983,7/28/2021,1
ST0013,"Orion Mall, Bengaluru",South,Karnataka,Bengaluru,Manoj Pillai,Outlet,21242,3/26/2017,1
ST0014,"Phoenix Marketcity, Bengaluru",South,Karnataka,Bengaluru,Deepak Chopra,Standard,17162,7/22/2019,1
ST0015,"Forum Mall Koramangala, Bengaluru",South,Karnataka,Bengaluru,Gopal Krishnan,Express,4627,8/12/2018,1
ST0016,"Indiranagar 100ft Road, Bengaluru",South,Karnataka,Bengaluru,Vikram Nair,Standard,5125,2/3/2023,1
ST0017,"Whitefield, Bengaluru",South,Karnataka,Bengaluru,Kavita Iyer,Express,22802,12/23/2022,1
ST0018,"MG Road, Bengaluru",South,Karnataka,Bengaluru,Rajesh Kumar,Flagship,1999,10/24/2022,1
ST0019,"Inorbit Mall, Hyderabad",South,Telangana,Hyderabad,Neha Gupta,Express,16630,11/7/2015,1
ST0020,"GVK One Mall, Hyderabad",South,Telangana,Hyderabad,Suresh Reddy,Outlet,21047,6/13/2019,1
ST0021,"Banjara Hills, Hyderabad",South,Telangana,Hyderabad,Divya Menon,Standard,9397,7/11/2017,1
ST0022,"Hitech City, Hyderabad",South,Telangana,Hyderabad,Anjali Mehta,Standard,7579,4/17/2023,1
ST0023,"Jubilee Hills, Hyderabad",South,Telangana,Hyderabad,Vinod Chandran,Express,7582,5/6/2020,1
ST0024,"Express Avenue, Chennai",South,Tamil Nadu,Chennai,Rajesh Kumar,Express,7281,12/17/2018,1
ST0025,"Phoenix Marketcity, Chennai",South,Tamil Nadu,Chennai,Prakash Menon,Express,1736,9/29/2023,1
ST0026,"T Nagar, Chennai",South,Tamil Nadu,Chennai,Deepa Krishnan,Standard,11430,4/30/2017,1
ST0027,"Anna Nagar, Chennai",South,Tamil Nadu,Chennai,Sanjay Joshi,Outlet,9165,4/23/2015,1
ST0028,"VR Mall, Chennai",South,Tamil Nadu,Chennai,Gopal Krishnan,Outlet,17213,5/13/2022,0
ST0029,"South City Mall, Kolkata",East,West Bengal,Kolkata,Vikram Nair,Standard,12801,11/30/2022,1
ST0030,"Quest Mall, Kolkata",East,West Bengal,Kolkata,Deepa Krishnan,Standard,16648,5/30/2023,1
ST0031,"Salt Lake City Centre, Kolkata",East,West Bengal,Kolkata,Shalini Agarwal,Flagship,23726,2/28/2021,1
ST0032,"Park Street, Kolkata",East,West Bengal,Kolkata,Nandini Krishnan,Outlet,3849,7/14/2016,1
ST0033,"Phoenix Marketcity, Pune",West,Maharashtra,Pune,Sunita Rao,Express,16685,10/23/2017,1
ST0034,"Amanora Mall, Pune",West,Maharashtra,Pune,Manoj Pillai,Standard,8979,9/26/2017,0
ST0035,"FC Road, Pune",West,Maharashtra,Pune,Divya Menon,Express,16330,6/9/2015,1
ST0036,"Camp Area, Pune",West,Maharashtra,Pune,Priya Sharma,Standard,12525,10/17/2021,1
ST0037,"Viman Nagar, Pune",West,Maharashtra,Pune,Rajesh Kumar,Standard,21182,4/1/2019,1
ST0038,"Hinjewadi, Pune",West,Maharashtra,Pune,Karthik Subramaniam,Standard,14756,11/16/2016,1
ST0039,"Alpha One Mall, Ahmedabad",West,Gujarat,Ahmedabad,Radha Krishnan,Standard,12626,9/10/2022,1
ST0040,"Vastrapur, Ahmedabad",West,Gujarat,Ahmedabad,Sneha Reddy,Flagship,11305,6/21/2017,1
ST0041,"Navrangpura, Ahmedabad",West,Gujarat,Ahmedabad,Harish Patel,Express,4634,3/10/2019,1
ST0042,"World Trade Park, Jaipur",North,Rajasthan,Jaipur,Kavita Iyer,Standard,17419,6/9/2019,1
ST0043,"MI Road, Jaipur",North,Rajasthan,Jaipur,Shalini Agarwal,Standard,7713,6/3/2022,1
ST0044,"C Scheme, Jaipur",North,Rajasthan,Jaipur,Arjun Singh,Standard,18290,4/12/2020,1
ST0045,"Phoenix Palassio, Lucknow",North,Uttar Pradesh,Lucknow,Nandini Krishnan,Express,18436,2/9/2023,1
ST0046,"Hazratganj, Lucknow",North,Uttar Pradesh,Lucknow,Rajesh Kumar,Express,8463,2/4/2022,0
ST0047,"Elante Mall, Chandigarh",North,Punjab,Chandigarh,Kavita Iyer,Standard,5550,1/19/2019,1
ST0048,"Sector 17, Chandigarh",North,Punjab,Chandigarh,Shalini Agarwal,Standard,8221,2/9/2020,1
ST0049,"Treasure Island Mall, Indore",Central,Madhya Pradesh,Indore,Harish Patel,Express,6537,2/27/2020,1
ST0050,"Vijay Nagar, Indore",Central,Madhya Pradesh,Indore,Vijay Anand,Standard,20881,5/28/2023,1
ST0051,"Empress Mall, Nagpur",Central,Maharashtra,Nagpur,Swati Kapoor,Express,11772,5/5/2020,1
ST0052,"Sitabuldi, Nagpur",Central,Maharashtra,Nagpur,Ashok Verma,Standard,14159,6/20/2021,1
ST0053,"VR Surat, Surat",West,Gujarat,Surat,Nandini Krishnan,Standard,10592,2/27/2016,1
ST0054,"Vesu, Surat",West,Gujarat,Surat,Sangeeta Rao,Standard,12793,4/16/2018,1
ST0055,"Lulu Mall, Kochi",South,Kerala,Kochi,Sunita Rao,Standard,5672,8/30/2022,1
ST0056,"MG Road Kochi, Kochi",South,Kerala,Kochi,Geeta Iyer,Standard,9024,8/29/2021,1
ST0057,"Brookefields Mall, Coimbatore",South,Tamil Nadu,Coimbatore,Sangeeta Rao,Express,16860,3/10/2017,1
ST0058,"RS Puram, Coimbatore",South,Tamil Nadu,Coimbatore,Divya Menon,Standard,21185,3/2/2017,1
ST0059,"DB City Mall, Bhopal",Central,Madhya Pradesh,Bhopal,Geeta Iyer,Express,23794,10/28/2017,1
ST0060,"MP Nagar, Bhopal",Central,Madhya Pradesh,Bhopal,Vikram Nair,Express,20261,7/4/2018,1
ST0061,"P&M Mall, Patna",East,Bihar,Patna,Divya Menon,Flagship,7474,9/1/2018,1
ST0062,"Boring Road, Patna",East,Bihar,Patna,Sangeeta Rao,Standard,18003,3/28/2018,1
ST0063,"Inorbit Mall, Vadodara",West,Gujarat,Vadodara,Mohan Das,Standard,21811,4/28/2016,1
ST0064,"Alkapuri, Vadodara",West,Gujarat,Vadodara,Suman Tiwari,Express,24967,4/17/2021,1
ST0065,"CMR Central, Visakhapatnam",South,Andhra Pradesh,Visakhapatnam,Deepa Krishnan,Standard,23056,8/2/2017,1
ST0066,"MVP Colony, Visakhapatnam",South,Andhra Pradesh,Visakhapatnam,Sneha Reddy,Standard,4326,2/9/2016,1
ST0067,"College Road, Nashik",West,Maharashtra,Nashik,Lakshmi Narayan,Express,23140,2/18/2021,1
ST0068,"Gangapur Road, Nashik",West,Maharashtra,Nashik,Radha Krishnan,Flagship,19751,11/15/2022,1
ST0069,"MBD Mall, Ludhiana",North,Punjab,Ludhiana,Amit Verma,Standard,15443,11/4/2019,1
ST0070,"Ferozepur Road, Ludhiana",North,Punjab,Ludhiana,Divya Menon,Standard,1823,7/18/2015,1
ST0071,"Sadar Bazaar, Agra",North,Uttar Pradesh,Agra,Rohit Malhotra,Flagship,9163,1/19/2021,1
ST0072,"Sanjay Place, Agra",North,Uttar Pradesh,Agra,Swati Kapoor,Express,6223,3/19/2020,1
ST0073,"Z Square Mall, Kanpur",North,Uttar Pradesh,Kanpur,Sunita Rao,Standard,2339,9/10/2019,1
ST0074,"Mall Road, Kanpur",North,Uttar Pradesh,Kanpur,Neha Gupta,Express,18508,3/22/2022,1
ST0075,"Crystal Mall, Rajkot",West,Gujarat,Rajkot,Karthik Subramaniam,Standard,12524,8/10/2021,1
ST0076,"Race Course Road, Rajkot",West,Gujarat,Rajkot,Ravi Shankar,Standard,4130,6/24/2018,1
ST0077,"Sigra, Varanasi",North,Uttar Pradesh,Varanasi,Sneha Reddy,Outlet,6371,11/18/2017,1
ST0078,"Cantonment, Varanasi",North,Uttar Pradesh,Varanasi,Deepa Krishnan,Standard,2857,4/8/2020,1
